GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bidgadget,com.bidgadget,BidEngine,23,0,0,0,6,0,2,0,2,0
bidgadget,com.bidgadget,BidEngine.BidHandler,113,39,8,12,26,14,6,8,2,2
